name,review_count,rating,lat,long,price
Palmers Lodge,34,4.0,51.545364,-0.176194,None
The Laslett,9,4.0,51.50948,-0.1967388,£££
Hilton London Syon Park,8,3.0,51.4794816153586,-0.315511848587562,£££
291 Suites,2,3.5,51.5511866,-0.191926,£
ABC Hyde Park Hotel,2,4.5,51.5154297728282,-0.171587118932418,££
Hyatt Regency London - The Churchill,70,4.5,51.5154357,-0.1569583,£££
Hyde Park Towers Hotel,4,4.0,51.5122966,-0.1866112,££
K West Hotel & Spa,63,3.5,51.50245,-0.216437,£££
Finsbury Serviced Apartments,2,4.0,51.5640907,-0.1080414,££
THE CHESTERFIELD MAYFAIR,57,4.5,51.5077092067692,-0.147149585319539,£££
Radisson Blu Portman Hotel,12,4.0,51.5155385574255,-0.157316167980146,££
Hyde Park Boutique Hotel,4,3.5,51.5141723465349,-0.183955321332681,££
DoubleTree by Hilton Hotel London - Chelsea,9,4.0,51.4740940077368,-0.18382590229055,££
St. James's,15,4.5,51.506115,-0.140311,££££
Osterley Park Hotel,3,2.5,51.483095202973,-0.33622507336235,£
Holiday Inn London Camden Lock,15,3.5,51.540294818363,-0.14585854209414,£££
The Berkeley,44,4.5,51.5019068266959,-0.156179445368934,££££
Premier Inn ,2,3.5,51.5130858489262,-0.310119776433623,££
London House,33,3.5,51.514055,-0.189489,££
InterContinental London Park Lane,51,4.0,51.5037096713326,-0.150419232920702,£££
The Biltmore Mayfair LXR Hotels & Resorts,2,5.0,51.51084523852935,-0.1508711552267935,None
London Marriott Hotel Grosvenor Square,54,4.0,51.5125949421553,-0.150771225131166,£££
Corinthia Hotel London,64,4.5,51.5065361584961,-0.124341458197023,££££
The Cavendish,34,4.5,51.507877,-0.137955,£££
Hilton London Kensington,64,3.0,51.5048965581936,-0.214575697715143,££
The An-nur Hotel,1,4.0,51.5109361,-0.1850278,None
The Dorchester,118,4.5,51.507302,-0.152594,££££
Park City Grand Plaza Kensington Hotel,24,3.5,51.4956613,-0.1893211,££
Ham Yard Hotel,29,4.5,51.5111504,-0.1344988,£££
Coronation Hotel,1,5.0,51.492861,-0.196802,None
H10 Hotel,30,4.5,51.498886,-0.106292,££
The Exhibitionist Hotel,3,3.5,51.494825,-0.177838,None
The Main House,1,5.0,51.5145969,-0.2016608,None
The Hoxton Holborn,42,4.0,51.5172396196256,-0.122062552720325,££
Great Northern Hotel a Tribute Portfolio Hotel London,24,4.5,51.532379,-0.1254596,£££
Wyndham Grand London Chelsea Harbour,13,4.5,51.4773654686125,-0.18584659580074,££££
Beaufort Hotel,10,4.5,51.4977094,-0.1641254,£££
Best Western Chiswick Palace & Suites,4,4.0,51.4926428103153,-0.25076377290608,£££
Malmaison Head Office,1,5.0,51.51563,-0.1658,None
Holiday Inn Watford Junction,1,3.0,51.6619353,-0.3972173,None
Pullman Hotel,27,4.5,51.5287433066088,-0.127791479939421,£££
Princess Hotel,3,5.0,51.5289363,-0.1232505,££
Hub By Premier Inn,8,4.0,51.5100618095395,-0.127215376054204,££
Coach & Horses Hotel,12,3.5,51.483189976606,-0.28649884633083,££
Columbia Hotel,13,3.5,51.5114958,-0.1795872,££
Vicarage Private Hotel,2,4.5,51.505132,-0.192499,£
Lancaster Gate Hotel,23,3.5,51.5120575,-0.1809573,££
Crowne Plaza London - The City,28,4.0,51.5127032,-0.104334,£££
The Capital Hotel Apartments and Townhouse,17,4.5,51.49996,-0.16146,£££
Covent Garden Hotel,36,4.5,51.5143585205078,-0.127162992954254,££££
Travelodge Hotel,4,2.5,51.527014,-0.279399,None
Lowndes Hotel,8,4.5,51.4993063,-0.1577173,£££
Holiday Inn ,18,3.5,51.5225489331923,-0.142724030932378,££
Mandarin Oriental,36,4.5,51.502252452438,-0.160007139695516,££££
Best Western Swiss Cottage Hotel,6,2.5,51.5446644,-0.1727042,££
Aster House,5,4.5,51.4925736,-0.1754493,£££
Crowne Plaza London - Kensington,27,4.0,51.4951633473118,-0.183685564772395,£££
The Lanesborough,46,4.5,51.502441,-0.152723,££££
Holiday Inn ,17,3.5,51.52391,-0.125012,£££
Eccleston Square Hotel,11,4.0,51.491084,-0.145115,££
Best Western - The Delmere Hotel,9,3.5,51.5156027,-0.1723232,££
The Colonnade,22,3.5,51.523564774982,-0.18423751631226,£££
The Penn Club,2,4.5,51.5206450127812,-0.12505496414401,££
Camden Lock Hotel,7,2.5,51.5437777,-0.152007,££
Lancaster Gate Superior Apartments,1,4.0,51.511436,-0.186658,None
The Fielding,8,4.5,51.5139067879982,-0.121998639525867,££
acton town flowers,2,4.5,51.503071,-0.2803027,None
Apex Temple Court Hotel,23,4.5,51.5137832,-0.1088746,£££
The Pelham,16,4.5,51.4944549965216,-0.17487109640922,£££
Ramada,1,4.0,51.529409,-0.168528,None
Hazlitts Hotels,27,4.5,51.5143751616248,-0.131922345785483,£££
Phoenix Hotel,20,3.0,51.5137025,-0.1898807,££
Premier Inn,3,4.0,51.5345834,-0.1059193,££
Hellenic Hotel,2,4.5,51.49888,-0.22196,None
Etap Hotel,1,5.0,51.465941,-0.377392,None
Charlotte Street Hotel,29,4.0,51.51840064125,-0.134992897529986,£££
Premier Travel Inn,2,4.5,51.496173,-0.446477,None
DoubleTree by Hilton Angel Kings Cross,23,3.5,51.532128967364,-0.10958376945557,££
Travelodge,2,3.0,51.5119789024841,-0.310969768652853,££
The Grand at Trafalgar Square,96,4.0,51.5071479913617,-0.126278438630075,££
The Rubens at the Palace,83,4.5,51.49826525,-0.14349978,£££
Hyatt Place London Heathrow Airport,22,3.5,51.48194,-0.468295,££
Residence Inn by Marriott London Kensington,19,3.0,51.4936447143555,-0.20218800008297,££
Premier Inn,2,4.0,51.5194945,-0.116961,None
Travelodge Hotel,2,3.5,51.4856796,-0.3937,None
Grand Royale London Hyde Park,13,3.5,51.510981,-0.186352,£££
hotel reservations,6,4.5,51.5291328,-0.1217508,£
Brunel Hotel,3,4.0,51.5145603,-0.179581,None
45 Park Lane,4,5.0,51.5063727830847,-0.151556956755482,££££
Restaurant at The Capital,5,4.5,51.4999835,-0.1616577,£££
Ramada Hounslow Heathrow - East,10,3.0,51.4697788504578,-0.367192997595951,££
Novotel,5,3.0,51.4907511868273,-0.301663354039192,££
Radisson Blu Edwardian Hampshire,23,4.0,51.5098477563198,-0.129852334579805,£££
No Ten Manchester Street Hotel,10,4.0,51.5187995,-0.1538386,£££
The Abbey Court Hotel,4,3.5,51.5102002,-0.1968642,££
Holiday Inn Express,16,3.0,51.488817,-0.535915,££
Grange Blooms Hotel,1,5.0,51.5198687,-0.1259157,None
Furnival House,1,5.0,51.5712444,-0.1434451,None
London Visitors Hotel,3,3.5,51.49824,-0.2077,£
The Ritz London,201,4.0,51.5069729900444,-0.141605891449217,££££
The Cleveland,1,3.0,51.5139700750321,-0.183069817721844,None
Grand Residences by Marriott - Mayfair-London,3,4.5,51.5111287,-0.1549705,££££
The Zetter Hotel,43,4.0,51.522758,-0.103696,£££
Royal Hotel,1,5.0,51.511842,-0.185604,None
Hub By Premier Inn,13,4.5,51.4990349,-0.1326035,None
The Connaught,32,4.5,51.5101556,-0.1496314,££££
Blakemore Hotel,1,5.0,51.5129285,-0.1837063,£££
Z Hotel Victoria,25,3.5,51.495617,-0.146329,££
Sheraton Towers Hotel,2,4.5,51.5010869623989,-0.180579868261702,None
Troy Hotel,4,4.0,51.511374,-0.184988,££
Cricklewood Lodge Hotel,2,3.0,51.5523755,-0.2107376,£
Premier Inn Archway,2,4.0,51.5657300803703,-0.135606468608241,None
London Grove Hotel,1,4.0,51.4970741,-0.2269388,None
88 Studios,6,3.5,51.4992798,-0.2091135,££
St. James' Court A Taj Hotel,48,4.0,51.4985964128815,-0.137215312466569,£££
Two Brewers Inn,12,3.0,51.703888,-0.491214,££
Hilton London Heathrow Airport,71,3.5,51.4590170250178,-0.441130079692812,£££
Harmondsworth Hall,1,5.0,51.488001,-0.47886,None
St Martins Lane Hotel,74,4.0,51.510378,-0.1268051,£££
The California,9,3.5,51.5295197473846,-0.123414203302367,£
Kensington House Hotel,9,4.0,51.5012354,-0.186005,£££
Hotel Café Royal,65,4.5,51.510171,-0.135962,£££
The Goring,35,4.5,51.49762,-0.145632,££££
Travelodge,5,4.0,51.5301395893589,-0.120352728472182,£
London Marriott Hotel County Hall,105,4.0,51.5009824925665,-0.119301246332043,£££
Travelodge Hotels,4,2.0,51.538039,-0.283135,£££
Days Inn London Hyde Park,6,3.5,51.5153236,-0.1731452,££
Harlingford Hotel,15,4.0,51.5260951,-0.1261868,££
Millennium & Copthorne Hotels at Chelsea Football Club,10,3.0,51.480991,-0.189177,££
MiNC Notting Hill Suites,1,5.0,51.509479,-0.196795,£££
Crowne Plaza Hotel London-Heathrow,32,3.0,51.4994964599609,-0.454241007566452,££
Yha England & Wales,3,4.5,51.5026041,-0.2023847,£
Rhodes Hotel,6,3.5,51.513748,-0.174575,££
DoubleTree by Hilton,30,3.0,51.480149409421,-0.4112424,££
Sea Containers London,4,5.0,51.508145,-0.106668,None
Palmers Lodge Hillspring,5,2.5,51.5458792516127,-0.219170610918663,None
Park Grand London Heathrow,6,3.0,51.4786575283567,-0.363556180191516,££
The Cadogan A Belmond Hotel,13,4.0,51.497018013839,-0.15923097672848,None
The Gore,21,4.0,51.5002403,-0.1797929,£££
Thistle Kensington Gardens,32,3.0,51.5109254,-0.1838732,££
De Vere Grand Connaught Rooms,5,4.0,51.5155551848791,-0.120639991795868,None
The Royal Horseguards Hotel,76,4.0,51.5057942764879,-0.124203793533464,£££
The Bloomsbury Hotel,41,4.0,51.5171420898507,-0.1290839910507,££££
Arbor Hyde Park Hotel,1,4.0,51.5120575,-0.1809573,None
Portobello House,9,3.0,51.519389,-0.21148,££
The Rosebery - Supercity Aparthotels,3,4.5,51.52355,-0.111137690807368,None
King Solomon Hotel,1,1.0,51.57514,-0.2038,None
Crowne Plaza London - Ealing,1,1.0,51.5296974833089,-0.293983268003859,None
London-Hotels.co.uk,1,5.0,51.495601,-0.1879081,None
Charlies Hotel,2,4.0,51.5553807,-0.1298956,£
Taj,8,5.0,51.4984086675968,-0.137984119240007,£££
London Lodge Hotel,5,3.5,51.495759,-0.194759,£££
Pestana Chelsea Bridge,8,4.0,51.481392,-0.148832,£££
The Victoria,5,3.5,51.461107,-0.27563,£££
Premier Inn Heathrow Terminal 5 Airport,4,3.0,51.4818807787609,-0.481905172762747,None
The Montcalm London Marble Arch,15,3.5,51.5151908,-0.1592042,£££
St David's Hotels,7,3.5,51.516004,-0.173908,££
